Year,Adj_Close,Adj_High,Adj_Low,Adj_Open,Adj_Volume,CSR Strategy Score,Close,Community Score,Date,Dividend,ESG Combined Score,ESG Controversies Score,ESG Period Last Update Date,ESG Score,Emissions Score,Environment Pillar Score,Governance Pillar Score,High,Human Rights Score,Innovation Score,Instrument,Low,Management Score,Open,Period End Date,Product Responsibility Score,Resource Use Score,Shareholders Score,Social Pillar Score,Split,Volume,Workforce Score,log_ret
2010,30.845092592592593,31.163094444444443,30.52532222222222,30.852592592592597,60912.96296296296,,30.845092592592593,,,0.0,,,,,,,,31.163094444444443,,,,30.52532222222222,,30.852592592592597,,,,,,1.0,60912.96296296296,,-8.879039693231512e-05
2011,26.433474206349192,26.80946944444446,26.070326190476212,26.476507936507932,80155.95238095238,,26.433474206349192,,,0.0,,,,,,,,26.80946944444446,,,,26.070326190476212,,26.476507936507932,,,,,,1.0,80155.95238095238,,-0.0017267720610326489
2012,22.110379999999992,22.338273200000014,21.871387600000016,22.111559999999997,77121.6,,22.110379999999992,,,0.0,,,,,,,,22.338273200000014,,,,21.871387600000016,,22.111559999999997,,,,,,1.0,77121.6,,-6.071107976798018e-05
2013,22.15192460317459,22.406436507936515,21.88134404761903,22.15227777777777,95556.3492063492,,22.15192460317459,,,0.0,,,,,,,,22.406436507936515,,,,21.88134404761903,,22.15227777777777,,,,,,1.0,95556.3492063492,,0.0005203312056443692
2014,22.355019841269854,22.62779246031746,22.105017460317452,22.374267063492063,78081.96428571429,,22.355019841269854,,,0.0,,,,,,,,22.62779246031746,,,,22.105017460317452,,22.374267063492063,,,,,,1.0,78081.96428571429,,-0.0008085417079058314
2015,14.074523809523804,14.330720238095227,13.852197222222213,14.109622619047613,105765.92857142857,,14.074523809523804,,,0.0,,,,,,,,14.330720238095227,,,,13.852197222222213,,14.109622619047613,,,,,,1.0,105765.92857142857,,-0.002390591880319854
2016,10.702619047619052,10.898323412698414,10.489603968253968,10.69370674603174,106954.16666666667,35.8157467532467,10.702619047619052,40.1098901098901,2016-12-31,0.0,18.7693010114885,52.1978021978022,2019-08-09T00:00:00,18.7693010114885,24.7252747252747,18.3257918552036,15.96131839472,10.898323412698414,28.5714285714285,9.34065934065934,PICO.O,10.489603968253968,6.91964285714285,10.69370674603174,2016-12-31,34.0659340659341,20.3296703296703,27.7394480519481,21.6065624516328,1.0,106954.16666666667,4.94505494505494,0.0015234792535792126
2017,15.792729083665328,15.995518725099583,15.586726693227087,15.79390438247012,102205.32669322709,36.2838332114118,15.792729083665328,39.7849462365591,2017-12-31,0.0,23.3840861001644,54.3010752688172,2019-08-09T00:00:00,23.3840861001644,51.0752688172043,28.2890575585072,21.6100831064794,15.995518725099583,27.4193548387096,10.752688172043,PICO.O,15.586726693227087,15.67300658376,15.79390438247012,2017-12-31,38.1720430107526,20.9677419354838,28.2918800292611,20.2105103740723,1.0,102205.32669322709,0.53763440860215,-0.0006715353029075975
2018,11.99904522613066,12.162877889447234,11.850924623115583,11.998934673366843,104104.3417085427,,11.99904522613066,,,0.0,,,,,,,,12.162877889447234,,,,11.850924623115583,,11.998934673366843,,,,,,1.0,104104.3417085427,,-0.0005556907519546631
2010,38.81460384200951,39.057984914606806,38.25605615726892,38.665766553346664,5574.074074074074,,40.578703703703724,,,0.0,,,,,,,,40.833146296296306,,,,39.99477037037037,,40.42310185185184,,,,,,1.0,5574.074074074074,,0.0006283818170576204
2011,41.47149526431695,41.94757025070548,40.85307243928932,41.35185695807063,5741.269841269841,,43.35634920634921,,,0.0,,,,,,,,43.85406150793648,,,,42.709819444444484,,43.23127341269843,,,,,,1.0,5741.269841269841,,0.0014103815121434336
2012,48.483915856834294,49.1227909757829,47.764337452547025,48.52736205391,5812.0,,50.68748000000001,,,0.0,,,,,,,,51.355391599999976,,,,49.93519720000003,,50.73290080000002,,,,,,1.0,5812.0,,-0.0009739147108309573
2013,51.28289462880215,51.919852431453876,50.60290072688946,51.248347322307694,14985.317460317461,,53.61367063492061,,,0.0,,,,,,,,54.27957777777777,,,,52.902771428571455,,53.57755317460316,,,,,,1.0,14985.317460317461,,0.0010355529123458017
2014,58.73140097711822,59.53676894670373,57.887917684013736,58.6823213683187,13291.20634920635,,61.14573412698413,,,0.001984126984126984,,,,,,,,61.98404801587299,,,,60.2679023809524,,61.0947996031746,,,,,,1.0,13291.20634920635,,0.0007260794305351872
2015,56.91705015499055,57.7913881436856,56.224996827000716,57.06231059178,6763.230158730159,,58.810951984127,,,0.001984126984126984,,,,,,,,59.71424484126982,,,,58.09618928571426,,58.96126349206348,,,,,,1.0,6763.230158730159,,-0.0010839884639431004
2016,59.479767380268555,60.08525326075767,58.60965111482189,59.37793601840903,9574.984126984127,35.8157467532467,60.85609126984125,44.4444444444444,2016-12-31,0.001984126984126984,23.4900756072631,60.1851851851851,2019-08-23T00:00:00,23.4900756072631,17.5925925925925,25.0816993464052,27.6389849904194,61.47578055555557,25.0,52.7777777777777,USLM.O,59.965904761904746,17.1875,60.752062698412736,2016-12-31,7.40740740740741,5.55555555555555,50.7508116883116,18.4011476264997,1.0,9574.984126984127,8.33333333333333,0.0013069309236388399
2017,79.1119763568396,79.99560759553115,78.14379204697119,79.0630256415199,11615.131474103586,36.2838332114118,80.35895418326693,37.719298245614,2017-12-31,0.002151394422310757,21.7631354355163,62.2807017543859,2019-08-23T00:00:00,21.7631354355163,18.4210526315789,24.3808049535603,21.2107402832575,81.25600996015939,21.9298245614035,50.0,USLM.O,79.3759103585657,16.2582297000731,80.3092414342629,2017-12-31,8.7719298245614,5.26315789473684,24.9634235552304,19.7306646898937,1.0,11615.131474103586,14.9122807017543,9.746584241693566e-05
2018,76.5614012870257,77.40153946403295,75.69653042217271,76.54485351352788,6994.934673366834,,77.29804020100498,,,0.002035175879396985,,,,,,,,78.1466738693467,,,,76.4246462311558,,77.28154070351758,,,,,,1.0,6994.934673366834,,5.2500748180383914e-05
2010,4.269206298405715,4.313814034910183,4.2202017487507595,4.265310865205798,409411.0944444444,,12.583148148148148,,,0.0,,,,,,,,12.714625925925926,,,,12.438711111111113,,12.57166666666667,,,,,,1.0,160553.37037037036,,0.001217707945991903
2011,4.683802908533969,4.736985669321934,4.620043777338655,4.68166894714392,562251.888095238,,13.805138888888871,,,0.0,,,,,,,,13.961890873015863,,,,13.617213888888902,,13.798849206349201,,,,,,1.0,220490.9365079365,,0.00010741794431832666
2012,5.411500859541721,5.456253175057567,5.360050677489332,5.40785096431701,441665.51819999993,,15.939835599999995,,,0.0002,,,,,,,,16.07164999999999,,,,15.788287600000004,,15.9290632,,,,,,1.0,173202.164,,0.0011182763947413115
2013,7.140320461647399,7.191658018537792,7.074840940667607,7.1349335152821585,412544.85892857146,,20.87146825396825,,,0.0007936507936507937,,,,,,,,21.021507936507938,,,,20.680058333333342,,20.855714285714285,,,,,,1.0,161782.29761904763,,0.0014814626739582362
2014,9.245286340491171,9.306426620149459,9.177471244611361,9.240829916167073,3253034.1930555557,,16.060694444444444,,,0.00031746031746031746,,,,,,,,16.173280158730158,,,,15.941699603174607,,16.054920634920638,,,,,,1.0061507936507936,2952088.388888889,,0.00047622306411895755
2015,10.772765300939778,10.857446999397752,10.685809266877612,10.775142757094951,2678578.007936508,30.9241706161137,12.048055555555566,76.4501160092807,2015-12-31,0.000992063492063492,30.1097401062227,57.5406032482598,2019-08-16T00:00:00,30.1097401062227,35.3828306264501,28.4768663846048,27.0666614870639,12.142729761904764,34.4547563805104,27.030162412993,ISBC.O,11.95081706349206,17.8021327014218,12.05067460317461,2015-12-31,7.88863109048723,22.3897911832946,49.7334123222748,34.2880951602888,1.0,2678578.007936508,24.7099767981438,0.000490273581400838
